date,label,pos_avg,neu_avg,neg_avg,Open,High,Low,Close,Volume,Return,EMA_10,SMA_20,RSI_14,ATR_14,Volume_lag1
2008-09-05,1,0.09387571230530739,0.6250607225298882,0.2810635770112276,11185.6298828125,11245.150390625,11037.849609375,11220.9599609375,198300000,0.0029253501953607763,11426.757773928615,11514.56640625,37.481722855829894,206.29708426339286,229200000.0
2008-09-08,1,0.09531956158578396,0.41813364177942275,0.4865467893332243,11224.8701171875,11570.66015625,11224.7900390625,11510.740234375,273000000,0.02582490931669712,11442.027312191593,11503.38740234375,50.84164103091129,212.96784319196428,198300000.0
2008-09-09,0,0.047313428819179534,0.5340916231274605,0.4185949497297406,11514.73046875,11577.5,11230.73046875,11230.73046875,257300000,-0.024325956447943775,11403.609704293121,11475.8064453125,47.071556766607586,226.24497767857142,273000000.0
2008-09-10,1,0.06619890924543143,0.5413310730457306,0.39247001729905606,11233.91015625,11380.6298828125,11215.259765625,11268.919921875,214260000,0.0034004424940357048,11379.120652944372,11457.128955078126,46.251546717016105,226.37353515625,257300000.0
2008-09-11,1,0.10081864099949599,0.4797867626696825,0.41939459756016734,11264.4404296875,11445.6796875,11098.669921875,11433.7099609375,247820000,0.014623410247384339,11389.045981670395,11452.166455078124,50.08204572217634,239.68568638392858,214260000.0
2008-09-12,0,0.05727279763668776,0.47069145619869235,0.4720357506722212,11429.3203125,11459.9296875,11280.400390625,11421.990234375,238890000,-0.0010250152052605488,11395.035845798506,11442.469482421875,44.70755952569059,237.84207589285714,247820000.0
2008-09-15,0,0.11074037458747625,0.5274210186302661,0.36183861330151557,11416.3701171875,11416.4501953125,10917.509765625,10917.509765625,432970000,-0.04416747505454377,11308.212922130595,11405.349951171875,39.39260808494576,254.91713169642858,238890000.0
2008-09-16,1,0.117157242000103,0.40569973692297934,0.47714303612709047,10905.6201171875,11093.2197265625,10742.7001953125,11059.01953125,494760000,0.01296172558238129,11262.905032879577,11384.3314453125,42.388305387885666,273.10923549107144,432970000.0
2008-09-17,0,0.08048201851546764,0.467590284049511,0.4519277136027813,11056.580078125,11057.3095703125,10595.900390625,10609.66015625,463200000,-0.04063284034630954,11144.133237128744,11347.386962890625,33.36784880332223,293.85414341517856,494760000.0
2008-09-18,1,0.1701159144192934,0.3734211729466915,0.4564629202708602,10609.009765625,11076.4404296875,10459.4404296875,11019.6904296875,488060000,0.03864688099325764,11121.507272139426,11327.5,37.9316842578669,322.5405970982143,463200000.0
2008-09-19,1,0.053761909641325475,0.46758447781205176,0.47865362241864207,11027.509765625,11483.0498046875,11026.7001953125,11388.4404296875,655110000,0.0334628275043527,11170.040573511802,11325.4115234375,47.47451071935815,343.36697823660717,488060000.0
2008-09-22,0,0.13572003960609436,0.4317691811174154,0.4325107755884528,11394.419921875,11394.580078125,10992.2001953125,11015.6904296875,213210000,-0.03273055712073725,11141.976910998292,11294.79306640625,42.68215726648685,349.37486049107144,655110000.0
2008-09-23,0,0.08886974889785051,0.5201543033123016,0.390975937359035,11015.6904296875,11143.2099609375,10833.9404296875,10854.169921875,204480000,-0.014662767517249709,11089.64836752133,11268.1890625,40.494973269638166,361.619140625,213210000.0
2008-09-24,0,0.05544412702322006,0.4452958546578884,0.49926000848412516,10850.01953125,10928.400390625,10753.5703125,10825.169921875,183630000,-0.0026717842275119086,11041.561377403814,11238.804052734375,44.42238045086161,348.61697823660717,204480000.0
2008-09-25,1,0.12877719141542912,0.46298365861177443,0.40823914665728805,10827.169921875,11129.1904296875,10827.009765625,11022.0595703125,218530000,0.01818813467672542,11038.015594296303,11214.78154296875,47.091061262614865,355.52553013392856,183630000.0
2008-09-26,1,0.11271752227097749,0.49870836034417154,0.3885741166397929,11019.0400390625,11168.0595703125,10868.8203125,11143.1298828125,232560000,0.010984363832155175,11057.127283117428,11186.179052734375,44.344576783367906,351.92117745535717,218530000.0
2008-09-29,0,0.12049078870564699,0.4223816639184952,0.457127544619143,11139.6201171875,11139.9404296875,10365.4501953125,10365.4501953125,385940000,-0.06979005859920173,10931.367812607441,11127.253564453125,38.4559702007851,382.70047433035717,232560000.0
